Lw = 0, Lcosine = 1.0	0.7157286248577815	0.4845822382437605	0.4310509269421004	0.6438000797959758
Lw = 0.1, Lcosine = 0.9	0.741564258327213	0.5106717690826953	0.4237539026880326	0.6892753319827524
Lw = 0.2, Lcosine = 0.8	0.7503685157152502	0.5139461513402049	0.4429078162821476	0.6864320955190809
Lw = 0.3, Lcosine = 0.7	0.7522061477305844	0.5174125611635988	0.4478189050243623	0.6676404825279383
Lw = 0.4, Lcosine = 0.6	0.7517080882473659	0.5161367725190962	0.44791051488347955	0.673276708573148
Lw = 0.5, Lcosine = 0.5	0.7509616774184794	0.5171522056158386	0.4455005259402416	0.6706553840611874
Lw = 0.6, Lcosine = 0.4	0.7510469342966943	0.5124431280778907	0.4452824502157051	0.6795813072737178
Lw = 0.7, Lcosine = 0.3	0.7509029736021526	0.5109897833895637	0.44184624969032593	0.6801407935189288
Lw = 0.8, Lcosine = 0.2	0.7493435410368345	0.511163038419427	0.4384410177060339	0.6856625886778325
Lw = 0.9, Lcosine = 0.1	0.7494241225872675	0.5125302622317963	0.43518539441296417	0.687795502246842
Lw = 1.0, Lcosine = 0	0.7500047469494476	0.5165525614771329	0.4273355749712553	0.6922252926251508
