	MEN	RW	SimLex	WS353
glove-wiki-gigaword-50	65.22631153867161	34.02885779933243	26.457921929908128	49.508269202757354
glove-wiki-gigaword-100	68.09145945444173	36.63591435278025	29.755243568550725	52.759018318512084
glove-wiki-gigaword-200	71.00651224855628	38.949987794217016	34.02584925991472	56.967437935442
glove-wiki-gigaword-300	73.74646969805517	41.177197601400174	37.05003571086907	60.12399204581493
word2vec-google-news-300	77.08060552770792	53.420975823193174	44.1965510914038	70.00166486272194
